"date","guest","female"
"Sunday 23 June 2019","Dr Liam Fox MP, International Trade Secretary",0
"Sunday 23 June 2019","David Miliband, President & CEO of International Rescue Committee",0
"Sunday 23 June 2019","Caroline Flint MP, Labour",0
"Sunday 23 June 2019","Professor David Olusoga, Historian",0
"Sunday 23 June 2019","Jess Gillam, award-winning saxophonist",0
"Sunday 16 June 2019","Jeremy Hunt MP, Foreign Secretary",0
"Sunday 16 June 2019","Rory Stewart MP, International Development Secretary",0
"Sunday 16 June 2019","Andy Burnham, Mayor of Greater Manchester",0
"Sunday 16 June 2019","Richard Ratcliffe. Husband of Nazanin Zaghari-Ratcliffe",0
"Sunday 9 June 2019","Michael Gove MP, Environment Secretary",0
"Sunday 9 June 2019","Esther McVey MP, former Work & Pensions Secretary",0
"Sunday 9 June 2019","Barry Gardiner MP, Shadow International Trade Secretary",0
"Sunday 2 June 2019","Sajid Javid MP, Home Secretary",0
"Sunday 2 June 2019","Andrea Leadsom MP, former Leader of the House of Commons",0
"Sunday 2 June 2019","Jo Swinson MP, Deputy Leader of the Liberal Democrats",0
"Sunday 2 June 2019","Woody Johnson, United States Ambassador to the UK",0
"Sunday 2 June 2019","Sir Lenny Henry, Actor & comedian",0
"Sunday 26 May 2019","Philip Hammond MP, Chancellor of the Exchequer",0
"Sunday 26 May 2019","Dominic Raab MP, former Brexit Secretary",0
"Sunday 26 May 2019","Baroness Shami Chakrabarti, Shadow Attorney General",0
"Sunday 26 May 2019","Sir Michael Palin, Actor",0
"Sunday 19 May 2019","Jeremy Corbyn MP, Leader of the Labour Party",0
"Sunday 19 May 2019","Nicola Sturgeon MSP, First Minister of Scotland",0
"Sunday 19 May 2019","Rory Stewart MP, International Development Secretary",0
"Sunday 19 May 2019","Sir Vince Cable MP, Leader of the Liberal Democrats",0
"Sunday 19 May 2019","Chuka Umunna MP, Lead Spokesman – Change UK",0
"Sunday 12 May 2019","Damian Hinds MP, Education Secretary",0
"Sunday 12 May 2019","Nigel Farage, Leader of The Brexit Party",0
"Sunday 12 May 2019","Jonathan Ashworth MP, Shadow Health Secretary",0
"Sunday 12 May 2019","Lesley Manville, Actor and star of ‘Mum’",0
"Sunday 5 May 2019","John McDonnell MP, Shadow Chancellor",0
"Sunday 5 May 2019","Ruth Davidson MSP, Leader of the Scottish Conservatives",0
"Sunday 5 May 2019","Sian Berry AM, Co-Leader of the Green Party",0
"Sunday 5 May 2019","Adam Price AM, Leader of Plaid Cymru",0
"Sunday 5 May 2019","Adrian Dunbar, Actor and star of Line of Duty",0
"Sunday 28 April 2019","Brandon Lewis MP, Chairman of the Conservative Party",0
"Sunday 28 April 2019","Jo Swinson MP, Deputy Leader of the Liberal Democrats",0
"Sunday 28 April 2019","Andrew Gwynne MP, Shadow Local Government Secretary",0
"Sunday 28 April 2019","Father Martin Magill, Catholic priest",0
"Sunday 14 April 2019","David Lidington MP, Minister for the Cabinet Office",0
"Sunday 14 April 2019","David Lammy MP, Labour",0
"Sunday 14 April 2019","Steve Murrells, Chief Executive of The Cooperative Group",0
"Sunday 14 April 2019","Gerard Batten MEP, Leader of UKIP",0
"Sunday 7 April 2019","Andrea Leadsom MP, Leader of the House of Commons",0
"Sunday 7 April 2019","Rebecca Long-Bailey MP, Shadow Business Secretary",0
"Sunday 7 April 2019","Caroline Lucas MP, Former Co-leader of the Green Party",0
"Sunday 7 April 2019","Rodrigo & Gabriela, Musicians",0
"Sunday 31 March 2019","Sir John Major MP, Former Conservative Prime Minister",0
"Sunday 31 March 2019","Tom Watson MP, Labour's Deputy Leader",0
"Sunday 31 March 2019","David Gauke MP, Justice Secretary",0
"Sunday 31 March 2019","Gisela Stuart, Former Chair of Vote Leave",0
"Sunday 24 March 2019","Stephen Barclay MP, Brexit Secretary",0
"Sunday 24 March 2019","Sir Keir Starmer MP, Shadow Brexit Secretary",0
"Sunday 24 March 2019","Nicola Sturgeon MSP, First Minister of Scotland",0
"Sunday 24 March 2019","Iain Duncan Smith, Former Conservative leader",0
"Sunday 17 March 2019","Philip Hammond MP, Chancellor of the Exchequer",0
"Sunday 17 March 2019","Baroness Chakrabarti, Shadow Attorney General",0
"Sunday 17 March 2019","Nick Boles MP, former Business and Education Minister",0
"Sunday 17 March 2019","Kelsey Grammer, Actor",0
"Sunday 10 March 2019","Jeremy Hunt MP, Foreign Secretary",0
"Sunday 10 March 2019","John McDonnell MP, Shadow Chancellor",0
"Sunday 10 March 2019","David Davis MP, former Brexit Secretary",0
"Sunday 10 March 2019","Phoebe Waller-Bridge, Actor",0
"Sunday 3 March 2019","Dr Liam Fox MP, International Trade Secretary",0
"Sunday 3 March 2019","Tony Blair, former Prime Minister",0
"Sunday 3 March 2019","Rebecca Long-Bailey MP, Shadow Business Secretary",0
"Sunday 3 March 2019","Joanne Froggatt, Actor",0
"Sunday 3 March 2019","Robert Glenister, Actor",0
"Sunday 24 February 2019","Michael Gove MP, Environment Secretary",0
"Sunday 24 February 2019","Tom Watson MP, Deputy Leader of the Labour Party",0
"Sunday 24 February 2019","Heidi Allen MP, The Independent Group",0
"Sunday 24 February 2019","Luciana Berger MP, The Independent Group",0
"Sunday 17 February 2019","John McDonnell MP, Shadow Chancellor",0
"Sunday 17 February 2019","Jeremy Wright MP, Culture Secretary",0
"Sunday 17 February 2019","Katherine Bennett CBE, Senior Vice President – Airbus UK",0
"Sunday 17 February 2019","David Suchet, Actor",0
"Sunday 17 February 2019","Brendan Coyle, Actor",0
"Sunday 10 February 2019","Tom Watson MP, Deputy Leader of the Labour Party",0
"Sunday 10 February 2019","James Brokenshire MP, Housing, Communities & Local Government Secretary",0
"Sunday 10 February 2019","Spike Lee, Director",0
"Sunday 10 February 2019","Karin Kneissl, Austrian Foreign Minister",0
"Sunday 3 February 2019","Sajid Javid MP, Home Secretary",0
"Sunday 3 February 2019","Barry Gardiner MP, Shadow International Trade Secretary",0
"Sunday 3 February 2019","Mary Lou McDonald TD, Leader of Sinn Fein",0
"Sunday 3 February 2019","Steven Isserlis, Cellist",0
"Sunday 27 January 2019","Simon Coveney TD, Tánaiste – Deputy Prime Minister of Ireland",0
"Sunday 27 January 2019","Nicola Sturgeon MSP, First Minister of Scotland",0
"Sunday 27 January 2019","Matthew Hancock MP, Health Secretary",0
"Sunday 27 January 2019","Yvette Cooper MP, Chair of the Home Affairs Select Committee",0
"Sunday 27 January 2019","Rosamund Pike, Actor",0
"Sunday 20 January 2019","Dr Liam Fox MP, International Trade Secretary",0
"Sunday 20 January 2019","Sir Keir Starmer MP, Shadow Brexit Secretary",0
"Sunday 20 January 2019","Dominic Raab MP, former Brexit Secretary, Hilary Benn MP, Chairman – Brexit Select Committee and Anna Soubry MP, Conservative",0
"Sunday 13 January 2019","Jeremy Corbyn MP, Leader of the Labour Party",0
"Sunday 13 January 2019","Sir Vince Cable MP, Leader of the Liberal Democrats",0
"Sunday 13 January 2019","Stephen Barclay MP, Brexit Secretary",0
"Sunday 13 January 2019","Endellion String Quartet, Orchestra",0
"Sunday 6 January, 2019","Prime Minister Theresa May MP",0
"Sunday 6 January, 2019","Shadow health secretary Jonathan Ashworth MP",0
"Sunday 6 January, 2019","Mary Queen of Scots' actors Saoirse Ronan and Margot Robbie and director Josie Rourke",0
"Sunday 6 January, 2019","Music from Michael Barenboim",0
"Sunday 16 December 2018","Dr Liam Fox MP, International Trade Secretary",0
"Sunday 16 December 2018","Andrew Gwynne MP, Shadow Communities Secretary",0
"Sunday 16 December 2018","Chuka Umunna MP, Labour",0
"Sunday 16 December 2018","The Kingdom Choir, Singers",0
"Sunday 9 December 2018","Boris Johnson MP, Former Foreign Secretary",0
"Sunday 9 December 2018","Rebecca Long Bailey MP, Shadow Business Secretary",0
"Sunday 9 December 2018","Stephen Barclay MP, Brexit Secretary",0
"Sunday 2 December 2018","Michael Gove MP, Environment Secretary",0
"Sunday 2 December 2018","Most Reverend Justin Welby, the Archbishop of Canterbury",0
"Sunday 2 December 2018","Barry Gardiner MP, Shadow International Trade Secretary",0
"Sunday 2 December 2018","Delia Smith, campaigner and broadcaster",0
"Sunday 2 December 2018","Sir Bryn Terfel, Baritone",0
"Sunday 25 November 2018","Jeremy Hunt MP, Foreign Secretary",0
"Sunday 25 November 2018","Arlene Foster MLA, Leader of Democratic Unionist Party",0
"Sunday 25 November 2018","Richard Burgon MP, Shadow Justice Secretary",0
"Sunday 25 November 2018","Tony Blair, Former Prime Minister",0
"Sunday 25 November 2018","Björn Ulvaeus, Member of ABBA",0
"Sunday 25 November 2018","Damon Albarn, musician",0
"Sunday 18 November 2018","Dominic Raab MP, Former Brexit Secretary",0
"Sunday 18 November 2018","Baroness Shami Chakrabarti, Shadow Attorney General",0
"Sunday 18 November 2018","Nicola Sturgeon MSP, First Minister of Scotland",0
"Sunday 11 November 2018","Damian Hinds MP, Education Secretary",0
"Sunday 11 November 2018","Emily Thornberry MP, Shadow Foreign Secretary",0
"Sunday 11 November 2018","Alexis Ffrench, Pianist",0
"Sunday 11 November 2018","Warrant Officer Ralph Brill, trumpeter",0
"Sunday 11 November 2018","General Sir Nick Carter, Chief of Defence Staff",0
"Sunday 11 November 2018","Danny Boyle, Director",0
"Sunday 4 November 2018","James Brokenshire MP, Housing, Communities & Local Government Secretary",0
"Sunday 4 November 2018","Arron Banks, Co-founder of Leave.EU",0
"Sunday 4 November 2018","Nadine Benjamin, Soprano",0
"Sunday 4 November 2018","Martin Fitzpatrick, Pianist and Head of Music at the English National Opera",0
"Sunday 4 November 2018","Steve McQueen, Film Director",0
"Sunday 4 November 2018","Peter Wittig, German Ambassador to the UK",0
"Sunday 28 October 2018","Philip Hammond MP, Chancellor of the Exchequer",0
"Sunday 28 October 2018","John McDonnell MP, Shadow Chancellor of the Exchequer",0
"Sunday 28 October 2018","Sheku Kanneh-Mason, Cellist",0
"Sunday 28 October 2018","Isata Kanneh-Mason, Pianist",0
"Sunday 21 October 2018","Dominic Raab MP, Brexit Secretary",0
"Sunday 21 October 2018","Sir Keir Starmer MP, Shadow Brexit Secretary",0
