date,guest,female
Sunday 23 June 2019,Liz Bates,1
Sunday 23 June 2019,Ash Sarkar,1
Sunday 23 June 2019,Camilla Tominey,1
Sunday 16 June 2019,Jane Moore,1
Sunday 16 June 2019,Jessica Elgot,1
Sunday 9 June 2019,Katy Balls,1
Sunday 9 June 2019,Pippa Crerar,1
Sunday 2 June 2019,Christiane Amanpour,1
Sunday 2 June 2019,Richard Tice MEP,0
Sunday 2 June 2019,Laura Parker,1
Sunday 26 May 2019,Anushka Asthana,1
Sunday 26 May 2019,Tom Swarbrick,0
Sunday 26 May 2019,Camilla Tominey,1
Sunday 19 May 2019,Stacey Dooley,1
Sunday 19 May 2019,Sarah Vine,1
Sunday 19 May 2019,Ella Whelan,1
Sunday 12 May 2019,Grace Blakeley,1
Sunday 12 May 2019,Madeline Grant,1
Sunday 12 May 2019,Caroline Wheeler,1
Sunday 5 May 2019,Amanda Platell,1
Sunday 5 May 2019,Steve Richards,0
Sunday 28 April 2019,Aditya Chakrabortty,0
Sunday 28 April 2019,Henry Newman,0
Sunday 14 April 2019,Camilla Tominey,1
Sunday 14 April 2019,Helen Lewis,1
Sunday 14 April 2019,Layla Moran MP,1
Sunday 7 April 2019,Katya Adler,1
Sunday 7 April 2019,Afua Hirsch,1
Sunday 7 April 2019,Jason Groves,0
Sunday 31 March 2019,Laura Kuenssberg,1
Sunday 31 March 2019,Jane Moore,1
Sunday 31 March 2019,Anushka Asthana,1
Sunday 24 March 2019,Emily Maitlis,1
Sunday 24 March 2019,Tom Newton Dunn,0
Sunday 24 March 2019,Agnès Poirier,1
Sunday 17 March 2019,Ayesha Hazarika,1
Sunday 17 March 2019,Amanda Platell,1
Sunday 17 March 2019,Adam Fleming,0
Sunday 10 March 2019,Miranda Green,1
Sunday 10 March 2019,Katy Balls,1
Sunday 3 March 2019,Alison Phillips,1
Sunday 3 March 2019,Julia Hartley-Brewer,1
Sunday 3 March 2019,Sir Simon Schama,0
Sunday 24 February 2019,Amanda Platell,1
Sunday 24 February 2019,Kevin Maguire,0
Sunday 17 February 2019,Anushka Asthana,1
Sunday 17 February 2019,Camilla Tominey,1
Sunday 17 February 2019,Vicki Young,1
Sunday 10 February 2019,Pippa Crerar,1
Sunday 10 February 2019,Jane Moore,1
Sunday 3 February 2019,Ash Sarkar,1
Sunday 3 February 2019,Fraser Nelson,0
Sunday 3 February 2019,Kate Devlin,1
Sunday 27 January 2019,Grace Blakeley,1
Sunday 27 January 2019,Iain Dale,0
Sunday 20 January 2019,Miranda Green,1
Sunday 20 January 2019,Helen Lewis,1
Sunday 20 January 2019,Tom Swarbrick,0
Sunday 13 January 2019,Paul Mason,0
Sunday 13 January 2019,Katie Perrior,1
Sunday 13 January 2019,Jane Moore,1
Sunday 6 January 2019,Steve Richards,0
Sunday 6 January 2019,Sarah Vine,1
Sunday 16 December 2018,Jason Groves,0
Sunday 16 December 2018,Anushka Asthana,1
Sunday 16 December 2018,Sophie in 't Veld MEP,1
Sunday 9 December 2018,Gina Miller,1
Sunday 9 December 2018,Gisela Stuart,1
Sunday 9 December 2018,Tom Swarbrick,0
Sunday 2 December 2018,Amanda Platell,1
Sunday 2 December 2018,Pippa Crerar,1
Sunday 25 November 2018,Rachel Shabi,1
Sunday 25 November 2018,Andrew Pierce,0
Sunday 25 November 2018,Camilla Tominey,1
Sunday 18 November 2018,Polly Toynbee,1
Sunday 18 November 2018,Tom Newton Dunn,0
Sunday 18 November 2018,Kwasi Kwarteng MP,0
Sunday 11 November 2018,Sir Harold Evans,0
Sunday 11 November 2018,Anushka Asthana,1
Sunday 11 November 2018,Jane Moore,1
Sunday 4 November 2018,Tracy Brabin MP,1
Sunday 4 November 2018,Julia Hartley-Brewer,1
Sunday 4 November 2018,Dr Leslie Vinjamuri,1
Sunday 28 October 2018,Michelle Dewberry,1
Sunday 28 October 2018,Helen Lewis,1
Sunday 28 October 2018,Kamal Ahmed,0
Sunday 21 October 2018,Tony Connelly,0
Sunday 21 October 2018,Amanda Platell,1
Sunday 21 October 2018,Shakira Martin,1
Sunday 14 October 2018,Sarah Vine,1
Sunday 14 October 2018,Sian Berry,1
Sunday 7 October 2018,John Nicolson,0
Sunday 7 October 2018,Henry Newman,0
Sunday 7 October 2018,Sarah Smith,1
Sunday 30 September 2018,Tom Swarbrick,0
Sunday 30 September 2018,Polly Toynbee,1
Sunday 30 September 2018,Kate McCann,1
Sunday 23 September 2018,Laura Parker,1
Sunday 23 September 2018,Camilla Tominey,1
Sunday 16 September 2018,Rachel Shabi,1
Sunday 16 September 2018,Sarah Baxter,1
Sunday 16 September 2018,Amanda Platell,1
Sunday 9 September 2018,Gisela Stuart,1
Sunday 9 September 2018,Gina Miller,1
Sunday 9 September 2018,Sam Coates,0
Sunday 2 September 2018,Julia Hartley-Brewer,1
Sunday 2 September 2018,Faiza Shaheen,1
Sunday 2 September 2018,Jo Coburn,1
Sunday 22 July 2018,Alison Phillips,1
Sunday 22 July 2018,Paul Goodman,0
Sunday 15 July 2018,Ayesha Hazarika,1
Sunday 15 July 2018,Amanda Platell,1
Sunday 15 July 2018,Jon Sopel,0
Sunday 8 July 2018,Cathy Newman,1
Sunday 8 July 2018,James Forsyth,0
Sunday 8 July 2018,Emily Ashton,1
Sunday 1 July 2018,Martina Navratilova,1
Sunday 1 July 2018,Dr Rosena Allin-Khan,1
Sunday 24 June 2018,Camilla Tominey,1
Sunday 24 June 2018,Gaby Hinsliff,1
Sunday 17 June 2018,Nick Ferrari,0
Sunday 17 June 2018,Polly Toynbee,1
Sunday 10 June 2018,Helen Lewis,1
Sunday 10 June 2018,Fraser Nelson,0
Sunday 10 June 2018,Kate McCann,1
Sunday 3 June 2018,Jane Moore,1
Sunday 3 June 2018,Kevin Maguire,0
Sunday 27 May 2018,Miranda Green,1
Sunday 27 May 2018,Isabel Oakeshott,1
Sunday 20 May 2018,Sarah Vine,1
Sunday 20 May 2018,Simon Schama,0
Sunday 13 May 2018,Chloe Westley,1
Sunday 13 May 2018,Ellie Mae O'Hagan,1
Sunday 13 May 2018,Camilla Long,1
Sunday 6 May 2018,Ayesha Hazarika,1
Sunday 6 May 2018,Kay Burley,1
Sunday 6 May 2018,Amanda Platell,1
