date,guest,female
Sunday 23 June 2019,Liz Bates,0
Sunday 23 June 2019, Ash Sarkar,0
Sunday 23 June 2019,Camilla Tominey,0
Sunday 16 June 2019,Jane Moore,0
Sunday 16 June 2019,Jessica Elgot,0
Sunday 9 June 2019,Katy Balls,0
Sunday 9 June 2019,Pippa Crerar,0
Sunday 2 June 2019,Christiane Amanpour,0
Sunday 2 June 2019, Richard Tice MEP,0
Sunday 2 June 2019,Laura Parker,0
Sunday 26 May 2019,Anushka Asthana,0
Sunday 26 May 2019, Tom Swarbrick,0
Sunday 26 May 2019,Camilla Tominey,0
Sunday 19 May 2019,Stacey Dooley,0
Sunday 19 May 2019, Sarah Vine,0
Sunday 19 May 2019, Ella Whelan,0
Sunday 12 May 2019,Grace Blakeley,0
Sunday 12 May 2019, Madeline Grant,0
Sunday 12 May 2019,Caroline Wheeler,0
Sunday 5 May 2019,Amanda Platell,0
Sunday 5 May 2019,Steve Richards,0
Sunday 28 April 2019,Aditya Chakrabortty,0
Sunday 28 April 2019,Henry Newman,0
Sunday 14 April 2019,Camilla Tominey,0
Sunday 14 April 2019, Helen Lewis,0
Sunday 14 April 2019,Layla Moran MP,0
Sunday 7 April 2019,Katya Adler,0
Sunday 7 April 2019,Afua Hirsch,0
Sunday 7 April 2019,Jason Groves,0
Sunday 31 March 2019,Laura Kuenssberg,0
Sunday 31 March 2019, Jane Moore,0
Sunday 31 March 2019,Anushka Asthana,0
Sunday 24 March 2019,Emily Maitlis,0
Sunday 24 March 2019, Tom Newton Dunn,0
Sunday 24 March 2019, Agnès Poirier,0
Sunday 17 March 2019,Ayesha Hazarika,0
Sunday 17 March 2019, Amanda Platell,0
Sunday 17 March 2019,Adam Fleming,0
Sunday 10 March 2019,Miranda Green,0
Sunday 10 March 2019,Katy Balls,0
Sunday 3 March 2019,Alison Phillips,0
Sunday 3 March 2019, Julia Hartley-Brewer,0
Sunday 3 March 2019,Sir Simon Schama,0
Sunday 24 February 2019,Amanda Platell,0
Sunday 24 February 2019,Kevin Maguire,0
Sunday 17 February 2019,Anushka Asthana,0
Sunday 17 February 2019, Camilla Tominey,0
Sunday 17 February 2019,Vicki Young,0
Sunday 10 February 2019,Pippa Crerar,0
Sunday 10 February 2019,Jane Moore,0
Sunday 3 February 2019,Ash Sarkar,0
Sunday 3 February 2019,Fraser Nelson,0
Sunday 3 February 2019,Kate Devlin,0
Sunday 27 January 2019,Grace Blakeley,0
Sunday 27 January 2019,Iain Dale,0
Sunday 20 January 2019,Miranda Green,0
Sunday 20 January 2019, Helen Lewis,0
Sunday 20 January 2019,Tom Swarbrick,0
Sunday 13 January 2019,Paul Mason,0
Sunday 13 January 2019,Katie Perrior,0
Sunday 13 January 2019,Jane Moore,0
"Sunday 6 January, 2019",Steve Richards,0
"Sunday 6 January, 2019",Sarah Vine,0
Sunday 16 December 2018,Jason Groves,0
Sunday 16 December 2018, Anushka Asthana,0
Sunday 16 December 2018, Sophie in 't Veld MEP,0
Sunday 9 December 2018,Gina Miller,0
Sunday 9 December 2018, Gisela Stuart,0
Sunday 9 December 2018, Tom Swarbrick,0
Sunday 2 December 2018,Amanda Platell,0
Sunday 2 December 2018,Pippa Crerar,0
Sunday 25 November 2018,Rachel Shabi,0
Sunday 25 November 2018,Andrew Pierce,0
Sunday 25 November 2018, Camilla Tominey,0
Sunday 18 November 2018,Polly Toynbee,0
Sunday 18 November 2018, Tom Newton Dunn,0
Sunday 18 November 2018, Kwasi Kwarteng MP,0
Sunday 11 November 2018,Sir Harold Evans,0
Sunday 11 November 2018,Anushka Asthana,0
Sunday 11 November 2018,Jane Moore,0
Sunday 4 November 2018,Tracy Brabin MP,0
Sunday 4 November 2018,Julia Hartley-Brewer,0
Sunday 4 November 2018,Dr Leslie Vinjamuri,0
Sunday 28 October 2018,Michelle Dewberry,0
Sunday 28 October 2018,Helen Lewis,0
Sunday 28 October 2018,Kamal Ahmed,0
Sunday 21 October 2018,Tony Connelly,0
Sunday 21 October 2018,Amanda Platell,0
Sunday 21 October 2018,Shakira Martin,0
Sunday 14 October 2018,Sarah Vine,0
Sunday 14 October 2018,Sian Berry,0
Sunday 7 October 2018,John Nicolson,0
Sunday 7 October 2018,Henry Newman,0
Sunday 7 October 2018,Sarah Smith,0
Sunday 30 September 2018,Tom Swarbrick,0
Sunday 30 September 2018,Polly Toynbee,0
Sunday 30 September 2018,Kate McCann,0
Sunday 23 September 2018,Laura Parker,0
Sunday 23 September 2018,Camilla Tominey,0
Sunday 16 September 2018,Rachel Shabi,0
Sunday 16 September 2018,Sarah Baxter,0
Sunday 16 September 2018,Amanda Platell,0
Sunday 9 September 2018,Gisela Stuart,0
Sunday 9 September 2018,Gina Miller,0
Sunday 9 September 2018,Sam Coates,0
Sunday 2 September 2018,Julia Hartley-Brewer,0
Sunday 2 September 2018,Faiza Shaheen,0
Sunday 2 September 2018,Jo Coburn,0
Sunday 22 July 2018,Alison Phillips,0
Sunday 22 July 2018,Paul Goodman,0
Sunday 15 July 2018,Papers reviewed by Ayesha Hazarika,0
Sunday 15 July 2018, Amanda Platell,0
Sunday 15 July 2018, and Jon Sopel,0
Sunday 8 July 2018,Papers reviewed by Cathy Newman,0
Sunday 8 July 2018, James Forsyth,0
Sunday 8 July 2018, Emily Ashton,0
Sunday 1 July 2018,Papers reviewed by Martina Navratilova,0
Sunday 1 July 2018, Dr Rosena Allin-Khan,0
Sunday 24 June 2018,Papers reviewed by Camilla Tominey,0
Sunday 24 June 2018, Sunday Express Political Editor and Gaby Hinsliff,0
Sunday 17 June 2018,Papers reviewed by Nick Ferrari,0
Sunday 17 June 2018, LBC Presenter and Polly Toynbee,0
Sunday 10 June 2018,Papers reviewed by Helen Lewis,0
Sunday 10 June 2018, Fraser Nelson,0
Sunday 10 June 2018, and Kate McCann,0
Sunday 3 June 2018,Papers reviewed by Jane Moore,0
Sunday 3 June 2018, The Sun and Kevin Maguire,0
Sunday 27 May 2018,Papers reviewed by Miranda Green,0
Sunday 27 May 2018, Financial Times and Isabel Oakeshott,0
Sunday 20 May 2018,Papers reviewed by Sarah Vine,0
Sunday 20 May 2018, Daily Mail Columnist and Simon Schama,0
Sunday 13 May 2018,Papers reviewed by Chloe Westley,0
Sunday 13 May 2018, Campaign Manager at TaxPayer Alliance,0
Sunday 13 May 2018, Ellie Mae O'Hagan,0
Sunday 13 May 2018, Journalist and Commentator and Camilla Long,0
Sunday 6 May 2018,Papers reviewed by Ayesha Hazarika,0
Sunday 6 May 2018, Kay Burley,0
Sunday 6 May 2018, Sky News Presenter and Broadcaster and Amanda Platell,0
Sunday 29 April 2018,Papers reviewed by Caroline Lucas MP,0
Sunday 29 April 2018, Co-Leader of The Green Party,0
Sunday 29 April 2018, Andrew Pierce,0
Sunday 29 April 2018, Daily Mail Columnist and Lyse Doucet,0
Sunday 22 April 2018,Papers reviewed by Layla Moran MP,0
Sunday 22 April 2018, Kate Perrior,0
Sunday 22 April 2018, former Downing Street Adviser and Ladysmith Black Mambazo,0
Sunday 15 April 2018,Papers reviewed by Rachel Shabi,0
Sunday 15 April 2018, Christiane Amanpour,0
Sunday 15 April 2018, CNN and Fraser Nelson,0
Sunday 8 April 2018,Papers reviewed by Polly Toynbee,0
Sunday 8 April 2018, The Guardian and Julia Hartley-Brewer,0
Sunday 25 March 2018,Papers reviewed by Carole Cadwalladr,0
Sunday 25 March 2018, The Observer and Isabel Oakeshott,0
Sunday 25 March 2018, Journalist & Commentator,0
Sunday 18 March 2018,Papers reviewed by Owen Jones,0
Sunday 18 March 2018, Columnist,0
Sunday 18 March 2018, The Guardian and Jane Moore,0
Sunday 18 March 2018, The Sun,0
Sunday 11 March 2018,Papers reviewed by Anushka Asthana,0
Sunday 11 March 2018, Political Editor,0
Sunday 11 March 2018, The Guardian and Amanda Platell,0
Sunday 4 March 2018,Papers reviewed by Helen Lewis,0
Sunday 4 March 2018, New Statesmen and Iain Dale,0
Sunday 25 February 2018,Papers reviewed by Katie Perrior,0
Sunday 25 February 2018,Former Number 10 advisor and June Sarpong,0
Sunday 18 February 2018,Papers reviewed by Joanna Cherry MP,0
Sunday 18 February 2018, SNP and Camilla Tominey,0
Sunday 11 February 2018,Papers reviewed by Ayesha Hazarika,0
Sunday 11 February 2018, Political Commentator and Julia Hartley-Brewer,0
Sunday 4 February 2018,Paper reviewed by Munira Mirza,0
Sunday 4 February 2018, Commentator & former London Deputy Mayor for Education & Culture and Janine Gibson,0
Sunday 28 January 2018,Papers reviewed by Isabel Oakeshott,0
Sunday 28 January 2018, Sam Coates,0
Sunday 28 January 2018, The Times and Sonia Sodha,0
Sunday 21 January 2018,Papers reviewed by James Cleverly MP,0
Sunday 21 January 2018, Conservative Party and Katharine Viner,0
Sunday 14 January 2018,Papers reviewed by Helen Lewis,0
Sunday 14 January 2018, New Statesman and Andrew Pierce,0
Sunday 07 January 2018,Papers reviewed by Polly Toynbee,0
Sunday 07 January 2018, Columnist,0
Sunday 07 January 2018, The Guardian and Fraser Nelson,0
Sunday 17 December 2017,Papers reviewed by Rachel Johnson,0
Sunday 17 December 2017, Tim Shipman,0
Sunday 17 December 2017, Sunday Times and Emma Barnett,0
Sunday 10 December 2017,Papers reviewed by Anushka Asthana,0
Sunday 10 December 2017, Gina Miller,0
Sunday 10 December 2017, Businesswoman and Iain Dale,0
Sunday 3 December 2017,Papers reviewed by Ayesha Hazarika,0
Sunday 3 December 2017, Kate Andrews,0
Sunday 3 December 2017, Institute of Economic Affairs and Nigel Farage MEP,0
Sunday 26 November 2017,Papers reviewed by Robert Oxley,0
Sunday 26 November 2017, Ellie Mae O'Hagan,0
Sunday 26 November 2017, Writer & Commentator and George Parker,0
Sunday 19 November 2017,Papers reviewed by Caroline Lucas MP,0
Sunday 19 November 2017, Allister Heath,0
Sunday 19 November 2017, Sunday Telegraph and Lucy Fisher,0
Sunday 12 November 2017,Papers reviewed by Gaby Hinsliff,0
Sunday 12 November 2017, James Landale,0
Sunday 12 November 2017, BBC Diplomatic Correspondent and Camilla Tominey,0
Sunday 5 November 2017,Papers reviewd by Kate Hoey MP,0
Sunday 5 November 2017, Anna Soubry MP,0
Sunday 5 November 2017, Conservative and Sam Coates,0
Sunday 29 October 2017,Papers reviewed by Owen Jones,0
Sunday 29 October 2017, The Guardian and Isabel Oakeshott,0
Sunday 22 October 2017,Papers reviewed by Chuka Umunna MP,0
Sunday 22 October 2017, Theresa Villers MP,0
Sunday 22 October 2017, Conservative and Jane Moore (Columnist from The Sun),0
Sunday 15th October 2017,Papers reviewed by Anushka Asthana,0
Sunday 15th October 2017, Richard Tice,0
Sunday 15th October 2017, Co-Chair of Leave Means Leave and Sir Craig Oliver,0
Sunday 15th October 2017, former Director of Comms for Prime Minister David Cameron,0
Sunday 8th October 2017,Papers reviewed by David Torrance ,0
Sunday 8th October 2017, Lesley Riddoch,0
Sunday 8th October 2017, The Scotsman and Ayesha Hazarika,0
Sunday 01 October 2017,Papers reviewed by Polly Toynbee,0
Sunday 01 October 2017, The Guardian and Iain Dale,0
Sunday 24 September 2017,Papers reviewed by Isabel Hardman,0
Sunday 24 September 2017, The Spectator and Rachel Shabi,0
Sunday 17 September 2017,Papers reviewed by Amanda Platell,0
Sunday 17 September 2017, Frances O’Grady,0
Sunday 17 September 2017, General Secretary TUC and Jon Sopel,0
Sunday 10 September 2017,Papers reviewed by Katya Adler,0
Sunday 10 September 2017, Julia Hartley-Brewer,0
Sunday 10 September 2017, Talk Radio and Helen Lewis,0
Sunday 3 September 2017,Papers reviewed by Kemi Badenoch MP,0
Sunday 3 September 2017, Caroline Flint MP and Bridget Kendall,0
Sunday 23 July 2017,Papers reviewed by Anna Soubry MP,0
Sunday 23 July 2017, Gisela Stuart,0
Sunday 23 July 2017, former Labour MP and Chair of Vote Leave and Toby Young,0
Sunday 16 July 2017,Papers reviewed by Jane Moore,0
Sunday 16 July 2017, Ayesha Hazarika,0
Sunday 16 July 2017, Former Labour Adviser and Iain Duncan Smith MP,0
Sunday 9 July 2017,Papers reviewed by Stephen Bush,0
Sunday 9 July 2017, Sarah Baxter,0
Sunday 9 July 2017, The Sunday Times and Iain Martin,0
Sunday 2 July 2017,Papers reviewed by Naomi Klein,0
Sunday 2 July 2017, Tim Stanley and Heidi Allen MP,0
Sunday 25 June 2017,Papers reviewed by Ellie Mae O’Hagan,0
Sunday 25 June 2017, Fraser Nelson,0
Sunday 25 June 2017, The Spectator and Henry Blofeld,0
Sunday 18 June 2017,Papers reviewed by Iain Dale,0
Sunday 18 June 2017, Victoria Derbyshire and Faiza Shaheen,0
Sunday 11 June 2017,Papers reviewed by George Osborne,0
Sunday 11 June 2017, Polly Toynbee,0
Sunday 11 June 2017, Guardian columnist and Toby Young,0
Sunday 28 May 2017,Papers reviewed by Sir Craig Oliver,0
Sunday 28 May 2017, Jacqui Smith and Jon Sopel,0
Sunday 21 May 2017,Papers reviewed by Paul Mason,0
Sunday 21 May 2017, Amanda Platell,0
Sunday 21 May 2017, Daily Mail columnist and Miranda Green,0
Sunday 14 May 2017,Papers reviewed by Sarah Smith,0
Sunday 14 May 2017, Andrew Rawnsley,0
Sunday 14 May 2017, The Observer and Jane Moore,0
Sunday 7 May 2017,Papers reviewed by Tim Montgomerie,0
Sunday 7 May 2017, Ayesha Hazarika and Jim Waterson,0
Sunday 30 April 2017,Papers reviewed by Rachel Johnson,0
Sunday 30 April 2017, Owen Jones,0
Sunday 30 April 2017, The Guardian and Fraser Nelson,0
Sunday 23 April 2017,Papers reviewed by Kevin Maguire,0
Sunday 23 April 2017, Sarah Sands,0
Sunday 23 April 2017, Evening Standard and Benedicte Paviot,0
Sunday 9 April 2017,Papers reveiwed by Sir Peter Westmacott,0
Sunday 9 April 2017, Philip Collins,0
Sunday 9 April 2017, The Times and Julia Hartley-Brewer,0
Sunday 2 April 2017,Papers reviewed by Miriam Gonzalez,0
Sunday 2 April 2017, Esther McVey,0
Sunday 2 April 2017, Conservative and Matt Chorley,0
Sunday 26 March 2017,Papers reviewed by Trevor Kavanagh,0
Sunday 26 March 2017, Baroness Helena Kennedy QC,0
Sunday 26 March 2017, Sarah Baxter,0
Sunday 19 March 2017,Papers reviewed by Amanda Platell,0
Sunday 19 March 2017, Michael Crick,0
Sunday 19 March 2017, Channel 4 News and Ruth Wishart,0
Sunday 12 March 2017,Papers reviewed by Owen Jones,0
Sunday 12 March 2017, The Guardian and Jane Moor,0
Sunday 05 March 2017,Papers reveiwed by Jon Sopel,0
Sunday 05 March 2017, Helen Lewis,0
Sunday 05 March 2017, New Statesman and Stephanie Flanders,0
Sunday 05 March 2017, JP Morgan,0
Sunday 26 February 2017,Papers reviewed by Gina Miller,0
Sunday 26 February 2017, Tim Montgomerie,0
Sunday 26 February 2017, Journalist and Paul Mason,0
Sunday 19 February 2017,Papers reviewed by Douglas Carswell MP,0
Sunday 19 February 2017, Caroline Flint MP,0
Sunday 19 February 2017, Labour and Tim Shipman,0
Sunday 12 February 2017,Papers reviewed by Laura Perrins,0
Sunday 12 February 2017, Rachel Shabi,0
Sunday 12 February 2017, Journalist and David Aaronovitch,0
Sunday 5 February 2017,Papers reviewed by Anna Soubry MP,0
Sunday 5 February 2017, Suzanne Evans,0
Sunday 5 February 2017, UKIP and George Parker,0
Sunday 29 January 2017,Papers reviewed by Sir Christopher Meyer,0
Sunday 29 January 2017, Yanis Varoufakis,0
Sunday 29 January 2017, Former Greek Finance Ministe and Amanda Platell,0
Sunday 22 January 2017,Papers reviewed by Piers Morgan,0
Sunday 22 January 2017, TV Presenter and Journalist and Anushka Asthana,0
Sunday 15 January 2017,Papers reviewed by Ayesha Hazarika,0
Sunday 15 January 2017, Esther McVey and Paul Waugh,0
Sunday 8 January 2017,Papers reviewed by Julia Hartley-Brewer,0
Sunday 8 January 2017, Sir Craig Oliver,0
Sunday 8 January 2017, Former Director of Communications for David Cameron and Steve Richards,0
Sunday 18 December 2016,Papers reviewed by Angela Eagle MP,0
Sunday 18 December 2016, John Nicolson MP,0
Sunday 18 December 2016, SNP and Suzanne Evans,0
Sunday 11 December 2016,Papers reveiwed by Tim Montgomerie,0
Sunday 11 December 2016, Owen Jones,0
Sunday 11 December 2016, The Guardian and Sarah Baxter,0
Sunday 4 December 2016,Papers reviewed by Anushka Asthana,0
Sunday 4 December 2016, Christina Lamb,0
Sunday 4 December 2016, Sunday Times and Peter Hitchens,0
Sunday 27 November 2016,Papers reviewed by Miranda Green,0
Sunday 27 November 2016, Fraser Nelson,0
Sunday 27 November 2016, The Spectator and Paul Mason,0
Sunday 13 November 2016,Papers reviewed by Christiane Amanpour,0
Sunday 13 November 2016, General Richard Dannatt and Richard Tice,0
Sunday 6 November 2016,Papers reviewed by Gina Miller,0
Sunday 6 November 2016, Jamie Rubin,0
Sunday 6 November 2016, Former State Department and Alex Sundstrom,0
Sunday 30 October 2016,Papers reviewed by Rachel Johnson,0
Sunday 30 October 2016, Kate Hoey MP Labour andIan Rankin,0
Sunday 23 October 2016,Papers reviewed by David Aaronovitch,0
Sunday 23 October 2016, The Times and Amanda Platell,0
Sunday 16 October 2016,Papers reviewed by Lucy Thomas,0
Sunday 16 October 2016, Britain Stronger in Europe and Toby Young,0
Sunday 9 October 2016,Papers reviewed by Tim Montgomerie,0
Sunday 9 October 2016, Stephanie Flanders,0
Sunday 9 October 2016, JP Morgan and Kate Andrews,0
Sunday 2 October 2016,Papers reviewed by Matthew Parris,0
Sunday 2 October 2016, The Times and Anushka Asthana,0
Sunday 25 September 2016,Papers reviewed by Chukka Umanna MP,0
Sunday 25 September 2016, Emma Rees,0
Sunday 25 September 2016, Momentum and Isabel Hardman,0
Sunday 18 September 2016,Papers reviewed by Nigel Farage MEP,0
Sunday 18 September 2016, Caroline Lucas MP,0
Sunday 18 September 2016, Green Party Joint Leader and Jane Moore,0
Sunday 11 September 2016,Papers reviewed by Gisela Stuart MP,0
Sunday 11 September 2016, Peter Hitchins,0
Sunday 11 September 2016, Mail on Sunday and Polly Toynbee,0
Sunday 4 September 2016,Papers reviewed by Shami Chakrabarti,0
Sunday 4 September 2016, Iain Martin,0
Sunday 4 September 2016, CapX and Gillian Tett,0
Sunday 24 July 2016,Papers reviewed by Isabel Hardman,0
Sunday 24 July 2016, Alison McGovern MP,0
Sunday 24 July 2016, Labour and Amol Rajan,0
Sunday 17 July 2016,Papers reviewed by Benedicte Paviot of France 24,0
Sunday 17 July 2016, James Landale,0
Sunday 17 July 2016, BBC's Diplomatic Corresspondant and Journalist Amanda Plattell,0
Sunday 10 July 2016,Papers reviewed by Christiane Amanpour,0
Sunday 10 July 2016, Paul Goodman,0
Sunday 10 July 2016, ConservativeHome Website and Ayesha Hazarika,0
Sunday 3rd July 2016,Papers reviewed by Iain Dale,0
Sunday 3rd July 2016, Phillip Collins and Rachel Shabi,0
Sunday 26th June 2016,Papers reviewed by Tim Montgomerie,0
Sunday 26th June 2016, Polly Toynbee,0
Sunday 26th June 2016, The Guardian and Laura Kuenssberg,0
Sunday 19th June 2016,Papers reviewed by Jane Moore,0
Sunday 19th June 2016, Sir Nicholas Soames MP,0
Sunday 19th June 2016, Conservative and Kate Hoey MP,0
Sunday 12th June 2016,Papers reviewed by Dia Chakrabarty,0
Sunday 12th June 2016, Baroness Kennedy,0
Sunday 12th June 2016, Labour and David Frum,0
Sunday 5th June 2016,Papers reviewed by Suzanne Evans,0
Sunday 5th June 2016, Caroline Lucas MP Green Party and Faisal Islam,0
Sunday 29th May 2016,Papers reviewed by Yanis Varoufakis,0
Sunday 29th May 2016, Former Greek Finance Minister and Amanda Platell,0
Sunday 22nd May 2016,Papers reviewed by Sarah Baxter,0
Sunday 22nd May 2016, The Sunday Times and Iain Martin,0
Sunday 15th May 2016,Papers reviewed by Janine Gibson,0
Sunday 15th May 2016, Julia Hartley-Brewer,0
Sunday 15th May 2016, Commentator and Broadcaster and Rohan Silva,0
Sunday 8th May 2016,Papers reviewed by Anushka Asthana,0
Sunday 8th May 2016, Fraser Nelson,0
Sunday 8th May 2016, The Spectator and Kate Andrews,0
Sunday 1st May 2016,Papers reviewed by Andrew Pierce,0
Sunday 1st May 2016, Owen Jones,0
Sunday 1st May 2016, The Guardian and  Jane Moore,0
Sunday 24th April 2016,Papers reviewed by Toby Young,0
Sunday 24th April 2016, The Spectator and Gillian Tett,0
Sunday 17th April 2016,Papers reviewed by Tony Parsons,0
Sunday 17th April 2016, Author and Emma Barnett,0
Sunday 10th April 2016,Papers reviewed by Polly Toynbee,0
Sunday 10th April 2016, The Guardian and Iain Dale,0
Sunday 3rd April 2016,Papers reviewed by Allison Pearson,0
Sunday 3rd April 2016, Stephanie Flanders,0
Sunday 3rd April 2016, Economist and Paul Mason,0
Sunday 20th March 2016,Papers reviewed by Steve Richards,0
Sunday 20th March 2016, Suzanne Evans,0
Sunday 20th March 2016, UKIP and Matthew D'Ancona,0
Sunday 13th March 2016,Papers reviewed by Anushka Asthana,0
Sunday 13th March 2016, The Guardian,0
Sunday 13th March 2016, Peter Hitchens,0
Sunday 13th March 2016, Mail Online and Linda Yueh,0
Sunday 6th March 2016,Papers reviewed by Jon Sopel,0
Sunday 6th March 2016, BBC North America Editor and Liz Kendall MP,0
Sunday 28th February 2016,Papers reviewed by Alison Phillips,0
Sunday 28th February 2016, The New Day,0
Sunday 28th February 2016, Tom Newton Dunn,0
Sunday 28th February 2016, The Sun and Jim Waterson,0
Sunday 21st February 2016,Papers reviewed by Nick Robinson and Kate Hoey MP,0
Sunday 14th February 2016,Paper reviewers Amol Rajan,0
Sunday 14th February 2016, Jane Moore,0
Sunday 14th February 2016, The Sun and Simon Jenkins,0
Sunday 7th February 2016,Papers reviewed by Isabel Hardman,0
Sunday 7th February 2016, The Spectator and Gaby Hinsliff,0
Sunday 31 January 2016,Papers reviewed by Margaret Hodge MP,0
Sunday 31 January 2016, Labour and Kate Andrews,0
Sunday 24 January 2016,Papers reviewed by Anne Applebaum,0
Sunday 24 January 2016, Author and Commentator Louise Cooper,0
Sunday 17 January 2016,Papers reviewed by Rachel Shabi,0
